Timestamp,HandLimb,Joint,Row,Column
126,Palm,surface,17,9,
126,Palm,surface,17,8,
139,Palm,surface,3,5,
139,Palm,surface,4,6,
139,Palm,surface,3,6,
139,Palm,surface,3,4,
139,Palm,surface,2,4,
139,Palm,surface,2,5,
139,Palm,surface,4,5,
139,Palm,surface,2,6,
140,Palm,surface,3,5,
140,Palm,surface,5,4,
140,Palm,surface,2,3,
140,Palm,surface,3,2,
140,Palm,surface,3,3,
140,Palm,surface,3,4,
140,Palm,surface,2,4,
140,Palm,surface,2,5,
140,Palm,surface,4,5,
140,Palm,surface,4,4,
140,Palm,surface,4,3,
141,Palm,surface,4,2,
141,Thumb,surface,0,6,
141,Thumb,surface,0,4,
141,Palm,surface,5,4,
141,Palm,surface,6,1,
141,Palm,surface,3,2,
141,Palm,surface,3,3,
141,Palm,surface,6,2,
141,Palm,surface,3,4,
141,Palm,surface,5,3,
141,Thumb,surface,1,6,
141,Thumb,surface,1,5,
141,Thumb,surface,0,5,
141,Palm,surface,4,1,
141,Palm,surface,6,3,
141,Palm,surface,5,1,
141,Palm,surface,4,4,
141,Palm,surface,3,1,
141,Palm,surface,5,2,
141,Palm,surface,4,3,
142,Palm,surface,4,2,
142,Thumb,surface,0,6,
142,Thumb,surface,0,4,
142,Palm,surface,7,2,
142,Palm,surface,6,1,
142,Thumb,surface,0,3,
142,Thumb,surface,2,5,
142,Thumb,surface,1,4,
142,Palm,surface,6,2,
142,Thumb,surface,1,3,
142,Palm,surface,5,3,
142,Thumb,surface,1,6,
142,Thumb,surface,1,5,
142,Thumb,surface,0,5,
142,Palm,surface,4,1,
142,Palm,surface,7,1,
142,Palm,surface,6,3,
142,Palm,surface,5,1,
142,Palm,surface,5,0,
142,Palm,surface,7,3,
142,Palm,surface,5,2,
142,Palm,surface,7,0,
142,Palm,surface,6,0,
142,Thumb,surface,2,4,
143,Thumb,surface,2,1,
143,Palm,surface,9,2,
143,Thumb,surface,2,3,
143,Palm,surface,10,0,
143,Palm,surface,7,2,
143,Thumb,surface,3,3,
143,Thumb,surface,4,3,
143,Thumb,surface,1,4,
143,Palm,surface,10,2,
143,Thumb,surface,1,3,
143,Palm,surface,8,0,
143,Thumb,surface,2,2,
143,Thumb,surface,1,1,
143,Palm,surface,10,1,
143,Thumb,surface,1,2,
143,Palm,surface,7,1,
143,Thumb,surface,3,4,
143,Thumb,surface,3,2,
143,Palm,surface,9,0,
143,Thumb,surface,4,2,
143,Palm,surface,9,1,
143,Palm,surface,7,0,
143,Thumb,surface,3,1,
143,Thumb,surface,2,4,
143,Palm,surface,8,1,
143,Palm,surface,8,2,
144,Palm,surface,12,0,
144,Palm,surface,10,0,
144,Palm,surface,11,0,
144,Palm,surface,11,1,
144,Palm,surface,10,2,
144,Thumb,surface,5,1,
144,Palm,surface,10,1,
144,Thumb,surface,4,1,
144,Palm,surface,11,2,
144,Palm,surface,13,1,
144,Thumb,surface,4,2,
144,Palm,surface,12,2,
144,Palm,surface,12,1,
144,Thumb,surface,3,1,
144,Palm,surface,13,0,
144,Thumb,surface,5,2,
145,Palm,surface,12,0,
145,Palm,surface,15,0,
145,Palm,surface,15,2,
145,Palm,surface,15,1,
